用例编号,所属模块,用例标题,前置条件,操作步骤,预期结果,优先级,设计方法,用例状态
TC-SHAPE-001,方块种类,7种标准方块全部存在,游戏初始化,遍历SHAPES字典,包含I/O/T/S/Z/J/L共7种,P0,等价类,通过
TC-SHAPE-002,方块种类,每种方块恰好4格,游戏初始化,检查每种方块cells长度,均为4,P0,等价类,通过
TC-SHAPE-003,方块种类,方块颜色索引1~7,游戏初始化,检查COLOR_INDEX值,均为1到7,P1,等价类,通过
TC-SHAPE-004,方块种类,未知方块类型抛异常,调用Piece("X"),观察,抛ValueError,P1,错误推测,通过
TC-BAG-001,随机生成,7-bag每袋含全部7种,初始化Bag,连续取7个,7种各出现1次,P0,场景法,通过
TC-BAG-002,随机生成,固定seed序列可复现,seed=42取14个,对比两次,序列一致,P1,场景法,通过
TC-BAG-003,随机生成,不同seed序列不同,seed=1与seed=999对比,序列不同,P2,场景法,通过
TC-BAG-004,随机生成,peek返回下一个不消耗,peek后next,两者相等,P2,等价类,通过
TC-BAG-005,随机生成,取完7个自动补袋,取8个,第8个正常返回不报错,P1,边界值,通过
TC-SPAWN-001,生成,新方块在顶部居中,游戏初始化,读取piece位置,x≈cols/2-2且y=0,P0,等价类,通过
TC-SPAWN-002,生成,生成后next_piece已更新,游戏初始化,检查next_piece,存在且为7种之一,P1,等价类,通过
TC-SPAWN-003,生成,新方块生成即碰撞触发结束,填满顶部4行,调用_spawn,抛GameOver reason=TOPOUT,P0,场景法,通过
TC-MOVE-001,移动,左移一格x减1,方块在中间,按左键,x=x-1,P0,等价类,通过
TC-MOVE-002,移动,右移一格x加1,方块在中间,按右键,x=x+1,P0,等价类,通过
TC-MOVE-003,移动,贴左墙左移被拒,x=0,按左键,x不变且返回False,P0,边界值,通过
TC-MOVE-004,移动,贴右墙右移被拒,方块已到最右,按右键,x不变,P0,边界值,通过
TC-MOVE-005,移动,软降y加1,方块在中间,按下降键,y=y+1,P0,等价类,通过
TC-MOVE-006,移动,落底软降触发锁定,方块已到底部,按下降键,锁定并生成新方块,P0,边界值,通过
TC-MOVE-007,移动,撞已锁方块左移被拒,左侧有已锁方块,按左键,x不变,P1,场景法,通过
TC-MOVE-008,移动,游戏结束时移动无效,is_over=True,按任意移动键,返回False,P2,错误推测,通过
TC-ROT-001,旋转,T方块顺时针旋转变形,方块为T,按旋转键,cells变化且rotation=1,P0,场景法,通过
TC-ROT-002,旋转,O方块旋转不变形,方块为O,按旋转键,cells集合不变,P1,等价类,通过
TC-ROT-003,旋转,旋转4次回到原状,任意非O方块,连按4次旋转,cells与初始一致,P1,正交实验,通过
TC-ROT-004,旋转,贴墙旋转触发wall-kick,I方块贴右墙,按旋转键,通过偏移成功或拒绝不崩溃,P1,边界值,通过
TC-ROT-005,旋转,旋转后碰撞被拒,方块紧贴已锁方块,按旋转键,cells不变,P1,场景法,通过
TC-ROT-006,旋转,游戏结束旋转无效,is_over=True,按旋转键,返回False,P2,错误推测,通过
TC-ROT-007,旋转,wall-kick尝试偏移0/-1/+1/-2/+2,构造贴墙场景,按旋转,取首个合法偏移成功,P2,边界值,通过
TC-HARD-001,硬降,硬降直接落底,方块在顶部,按空格,方块瞬间到底并锁定,P0,场景法,通过
TC-HARD-002,硬降,硬降每格+2分,记录分数,硬降N格,分数增加N*2,P1,等价类,通过
TC-HARD-003,硬降,硬降后生成新方块,硬降前记录形状,硬降后,方块形状变化或y=0,P1,场景法,通过
TC-HARD-004,硬降,硬降返回下落格数,硬降,读取返回值,>0且等于实际下落格,P1,等价类,通过
TC-HARD-005,硬降,游戏结束硬降返回0,is_over=True,硬降,返回0,P2,错误推测,通过
TC-COLL-001,碰撞,撞左墙移动被拒,x=0左移,检测,x不变,P0,边界值,通过
TC-COLL-002,碰撞,撞右墙移动被拒,x=最右右移,检测,x不变,P0,边界值,通过
TC-COLL-003,碰撞,撞底部触发锁定,y=最底下移,检测,锁定,P0,边界值,通过
TC-COLL-004,碰撞,撞已锁方块移动被拒,下方有已锁方块下移,检测,锁定,P1,场景法,通过
TC-COLL-005,碰撞,旋转后撞墙通过wall-kick,贴墙旋转,检测,偏移后合法,P1,边界值,通过
TC-LOCK-001,锁定,锁定后方块写入棋盘,硬降,检查棋盘,对应格子非0,P0,场景法,通过
TC-LOCK-002,锁定,锁定后生成新方块,硬降,检查piece,新方块在顶部,P0,场景法,通过
TC-LOCK-003,锁定,锁定时颜色正确,硬降I方块,检查棋盘格,值为I的颜色索引,P1,等价类,通过
TC-CLEAR-001,消行,单行满消除,填满底行,锁定触发,底行清空且上方下移,P0,场景法,通过
TC-CLEAR-002,消行,双行同时消除,填满底2行,锁定触发,消除2行,P0,场景法,通过
TC-CLEAR-003,消行,三行同时消除,填满底3行,锁定触发,消除3行,P0,场景法,通过
TC-CLEAR-004,消行,四行Tetris消除,填满底4行,锁定触发,消除4行,P0,场景法,通过
TC-CLEAR-005,消行,消除后顶部补空行,消除1行,检查顶行,全0,P1,边界值,通过
TC-CLEAR-006,消行,无满行不消除,棋盘无满行,锁定,棋盘不变,P1,等价类,通过
TC-CLEAR-007,消行,中间行满只消除该行,仅中间1行满,锁定,只消该行其他不动,P1,场景法,通过
TC-SCORE-001,计分,消1行得100×等级,等级1消1行,分数,+100,P0,等价类,通过
TC-SCORE-002,计分,消2行得300×等级,等级1消2行,分数,+300,P0,等价类,通过
TC-SCORE-003,计分,消3行得500×等级,等级1消3行,分数,+500,P0,等价类,通过
TC-SCORE-004,计分,消4行得800×等级,等级1消4行,分数,+800,P0,等价类,通过
TC-SCORE-005,计分,等级2消行分数翻倍,等级2消1行,分数,+200,P1,等价类,通过
TC-SCORE-006,计分,硬降每格+2分,硬降N格,分数,+2N,P1,等价类,通过
TC-SCORE-007,计分,combo连续消行加分,连续2次消行,第2次,额外+50×combo×等级,P2,场景法,通过
TC-SCORE-008,计分,未消行combo重置,消行后不消行,再消行,combo从-1开始,P2,场景法,通过
TC-SCORE-009,计分,初始分数0,游戏初始化,读取score,0,P1,等价类,通过
TC-LVL-001,等级,消10行升2级,累计消10行,读取level,2,P1,场景法,通过
TC-LVL-002,等级,消20行升3级,累计消20行,读取level,3,P2,场景法,通过
TC-LVL-003,等级,等级1速度=基础速度,等级1,读取speed,BASE_SPEED,P1,等价类,通过
TC-LVL-004,等级,等级升高速度增加,等级3,读取speed,BASE+2*STEP,P1,等价类,通过
TC-LVL-005,等级,速度不超过最大值,等级100,读取speed,MAX_SPEED,P1,边界值,通过
TC-LVL-006,等级,初始等级1,初始化,读取level,1,P1,等价类,通过
TC-OVER-001,结束,新方块生成即碰撞结束,顶部填满,生成新方块,抛GameOver TOPOUT,P0,场景法,通过
TC-OVER-002,结束,结束后is_over为True,触发结束,读取is_over,True,P1,等价类,通过
TC-OVER-003,结束,结束原因是TOPOUT,触发结束,读取over_reason,TOPOUT,P1,等价类,通过
TC-OVER-004,结束,GameOver携带分数/行数/等级,触发结束,捕获异常,含score/lines/level,P1,场景法,通过
TC-GHOST-001,幽灵方块,幽灵y>=当前y,方块在顶部,读取ghost_y,>=piece.y,P2,等价类,通过
